,PID,Mismatched_Hand,Alien_Hand,Matched_Hand
187,71,1.0,3.0,-3.0
188,71,2.0,3.0,2.0
189,72,1.0,1.0,-1.0
190,72,1.0,1.0,-1.0
191,72,1.0,1.0,-2.0
192,73,2.0,2.0,1.0
193,73,2.0,2.0,1.0
194,73,2.0,2.0,2.0
195,74,2.0,-2.0,2.0
196,74,-1.0,-2.0,2.0
197,74,2.0,1.0,2.0
198,75,3.0,-1.0,-1.0
199,75,3.0,-1.0,-1.0
200,75,2.0,-1.0,-1.0
201,76,2.0,2.0,3.0
202,76,1.0,1.0,2.0
203,76,0.0,2.0,2.0
204,77,-3.0,3.0,-3.0
205,77,-2.0,3.0,-3.0
206,77,-3.0,3.0,-3.0
207,78,0.0,1.0,2.0
208,78,0.0,2.0,2.0
209,78,-1.0,1.0,2.0
210,79,3.0,1.0,2.0
211,79,3.0,-2.0,1.0
212,79,3.0,-2.0,1.0
213,80,1.0,2.0,2.0
214,80,0.0,1.0,3.0
215,80,1.0,3.0,3.0
216,81,1.0,2.0,-1.0
217,81,1.0,2.0,1.0
218,81,0.0,3.0,-1.0
219,82,1.0,-1.0,-1.0
220,82,3.0,-2.0,-1.0
221,82,3.0,-1.0,-1.0
222,83,0.0,-1.0,0.0
223,83,-1.0,1.0,1.0
224,83,-2.0,-1.0,1.0
225,84,0.0,1.0,-3.0
226,84,0.0,1.0,-3.0
227,84,-3.0,1.0,-3.0
228,85,3.0,3.0,0.0
229,85,3.0,3.0,1.0
230,85,1.0,3.0,3.0
231,86,-3.0,-3.0,-2.0
232,86,-3.0,1.0,-3.0
233,86,-3.0,1.0,-3.0
234,87,2.0,2.0,3.0
235,87,1.0,2.0,1.0
236,87,0.0,2.0,0.0
237,88,2.0,1.0,-3.0
238,88,-1.0,1.0,0.0
239,88,1.0,-3.0,2.0
240,89,1.0,-1.0,-2.0
241,89,0.0,-2.0,-3.0
242,89,0.0,-2.0,-3.0
243,90,0.0,-1.0,1.0
244,90,-2.0,-1.0,1.0
245,90,-2.0,-1.0,1.0
246,91,3.0,3.0,3.0
